,Id,House Age,Lot Area,Overall Qual,Year Built,Year Remod/Add,Mas Vnr Area,Exter Qual,Bsmt Qual,Gr Liv Area,Full Bath,Half Bath,Total Bsmt SF,Garage Cars,Garage Area,Fireplaces,TotRms AbvGrd,Kitchen Qual,SalePrice
60,64,11,11764,8,1999,2007,348.0,4,4,2270,2,1,1152,3,671,1,9,4,290000
61,1799,0,9000,8,2007,2007,0.0,4,4,2610,2,1,1184,2,550,1,11,5,303477
62,230,33,20062,7,1977,2001,0.0,4,4,1483,1,1,1420,2,690,2,4,3,270000
63,1295,88,7308,5,1920,1950,0.0,2,3,1740,1,0,936,1,225,1,6,5,122250
64,638,54,8750,5,1955,1955,0.0,3,3,1382,1,0,1382,1,350,0,6,4,153000
65,2278,0,8402,5,2007,2007,0.0,3,4,1120,1,0,1120,0,0,0,6,3,147000
66,2202,77,4000,7,1930,1995,0.0,3,4,1098,1,0,531,1,216,1,5,3,148500
67,2833,2,3363,7,2004,2004,117.0,4,4,1708,2,0,976,2,380,0,7,4,130000
68,1707,1,13615,9,2006,2006,510.0,5,5,1802,2,1,1802,3,843,1,7,5,372000
69,2428,1,3013,7,2005,2005,145.0,4,4,1506,2,0,1362,2,440,1,6,4,213490
70,242,1,17485,7,2009,2010,96.0,4,4,1508,1,0,1508,2,572,2,5,4,308030
71,1564,12,23730,7,1996,1997,668.0,4,5,2032,3,0,1840,3,786,0,7,4,300000
72,2613,47,8910,6,1959,1959,0.0,3,3,1194,1,0,655,2,539,1,6,3,159500
73,2832,2,2522,7,2004,2004,50.0,4,4,1709,2,0,970,2,380,0,7,4,137500
74,2459,1,8688,7,2005,2005,228.0,4,4,1616,2,0,1616,3,834,0,7,4,232000
75,1360,78,6291,6,1930,1950,0.0,4,3,768,1,0,768,2,440,0,4,3,93850
76,2723,82,17529,5,1924,1950,65.0,3,3,872,1,0,872,1,322,1,5,2,105000
77,1350,81,6324,4,1927,1950,0.0,3,3,520,1,0,520,1,240,0,4,2,68500
78,136,50,11600,5,1960,1960,361.0,3,3,2274,2,0,1105,2,480,0,12,3,154300
79,2235,82,7288,5,1925,2003,0.0,4,3,1601,2,0,936,0,0,0,6,3,129850
80,1993,97,4571,5,1910,1950,0.0,3,3,1232,1,0,616,2,480,0,6,3,114000
81,367,1,17423,9,2008,2009,748.0,5,5,2234,2,0,2216,3,1166,1,9,5,501837
82,1309,93,12665,5,1915,1950,0.0,3,3,1416,1,1,876,3,720,1,7,3,153900
83,402,38,9000,4,1971,2006,0.0,3,3,864,1,0,864,2,576,0,5,3,130000
84,1592,11,4500,6,1997,1997,197.0,3,5,1189,2,0,1189,2,392,0,4,3,160500
85,2409,0,6373,9,2006,2006,572.0,5,5,1666,2,0,1666,2,575,1,6,4,310090
86,539,6,10083,7,2003,2003,0.0,4,4,1200,2,0,1176,2,555,0,5,4,184900
87,1940,51,13300,5,1956,2000,0.0,3,4,928,1,0,928,1,252,0,4,3,132000
88,588,40,9600,5,1969,1969,128.0,3,4,1336,2,0,1288,2,502,1,6,3,163000
89,96,6,3215,7,2004,2004,120.0,4,4,1200,2,1,600,2,480,0,4,4,155000
90,1187,39,11104,6,1969,1969,0.0,3,3,1427,2,0,1427,2,516,0,7,3,183000
91,2154,11,15295,7,1996,2002,254.0,4,4,1992,2,1,860,2,608,2,7,4,211000
92,550,15,9109,7,1994,1994,0.0,4,4,1540,2,1,754,2,495,0,6,4,184000
93,811,30,7018,5,1979,1979,0.0,3,0,1535,2,0,0,2,400,0,8,3,118858
94,124,46,14112,5,1964,1964,86.0,3,3,1152,1,0,1152,2,484,1,6,3,180500
95,1836,1,3523,8,2006,2007,30.0,4,4,1151,2,0,1141,2,484,0,5,4,166000
96,779,49,15312,6,1960,1960,54.0,3,3,1138,1,0,1138,2,480,1,6,3,148000
97,1886,51,7450,5,1956,1956,0.0,3,3,1074,1,0,894,2,396,1,6,4,124000
98,1724,2,7313,9,2005,2005,246.0,5,5,1561,2,0,1561,2,556,1,6,5,277500
99,2450,11,10019,8,1995,1995,397.0,4,4,2726,2,1,1342,3,725,1,9,4,350000
100,1013,4,15401,9,2004,2004,296.0,5,5,1884,2,0,1884,3,670,1,7,5,387000
101,2084,87,9098,4,1920,2002,0.0,3,3,605,1,0,528,0,0,0,5,3,86000
102,1184,32,16280,8,1976,2007,0.0,5,4,1671,3,0,1426,2,550,1,6,5,290000
103,728,109,9392,3,1900,1950,0.0,3,2,797,1,0,245,0,0,0,5,3,44000
104,950,8,12209,6,2001,2002,0.0,3,5,1961,2,1,804,2,560,1,7,4,215000
105,2524,34,13110,5,1972,1972,144.0,3,4,1193,2,0,1153,2,501,0,6,3,146500
106,2513,6,2651,7,2000,2000,0.0,4,4,1382,2,1,673,2,490,0,6,4,165000
107,2028,91,8520,6,1916,1950,0.0,3,3,2526,2,0,714,1,216,1,10,4,136000
108,2309,49,39384,6,1957,1957,902.0,3,4,1390,1,1,1705,2,550,2,4,5,252000
109,51,7,2628,7,2003,2003,106.0,4,4,1626,2,1,764,2,474,0,6,4,175500
110,699,70,6406,5,1939,1950,0.0,3,3,1558,1,1,690,2,400,1,7,3,150000
111,1881,47,12342,5,1960,1978,0.0,3,3,1422,1,0,978,1,286,1,6,3,139900
112,1345,78,6240,5,1930,1992,0.0,3,3,1573,2,0,1078,2,360,1,8,3,162900
113,166,48,10000,6,1962,1962,261.0,3,3,1116,1,1,1116,2,440,0,5,3,160000
114,781,62,9000,2,1947,1950,0.0,3,0,660,1,0,0,0,0,0,5,2,63900
115,379,31,11088,6,1978,1998,144.0,3,3,1707,2,0,1140,2,479,1,7,3,184000
116,2818,47,17755,5,1959,1959,132.0,3,3,1466,1,1,1466,2,528,2,6,2,149900
117,1168,8,4765,9,2000,2000,260.0,4,4,1638,2,0,1614,2,495,1,5,5,300000
118,1396,48,10532,5,1960,1960,275.0,3,3,1721,2,0,988,2,626,2,7,3,145000
119,838,12,15426,6,1997,1997,0.0,3,4,1764,2,1,928,2,470,0,7,4,231500
120,1492,68,13907,5,1940,1969,0.0,3,3,996,1,0,996,0,0,1,6,3,108000
121,637,53,8750,5,1956,1956,0.0,3,3,1202,1,0,1202,1,304,0,6,3,120000
122,1826,46,9945,5,1961,1961,57.0,3,3,988,1,0,988,2,572,0,5,3,128500
123,173,83,8960,5,1927,1950,0.0,3,3,1028,1,0,1008,2,360,1,5,3,115000
124,715,62,3500,5,1947,1950,0.0,3,3,1284,1,1,720,1,240,0,5,3,110000
125,1183,31,24572,9,1977,1977,1050.0,4,4,2944,2,2,994,3,864,1,9,4,150000
126,2433,2,9056,8,2004,2004,0.0,4,5,1414,2,1,707,2,403,1,6,4,178000
127,2866,74,12320,7,1932,1990,0.0,3,3,1609,1,1,637,3,579,2,8,4,199500
128,2311,9,8238,6,1997,1998,0.0,3,3,1525,2,1,813,2,400,1,6,3,183500
129,1551,41,6000,5,1967,1967,0.0,2,4,1656,1,1,624,1,288,1,7,3,126000
130,1049,31,2529,7,1977,1977,0.0,3,4,1055,2,0,1055,2,440,0,4,3,148500
131,657,70,10800,5,1939,2006,0.0,3,3,1352,2,0,676,2,720,0,7,4,149000
132,414,32,2349,6,1977,1977,0.0,3,4,1456,2,1,855,2,440,1,6,3,137900
133,1181,15,10846,8,1993,1993,0.0,4,4,1719,1,1,1719,2,473,2,6,4,324000
134,1514,83,5604,5,1925,1950,0.0,3,3,864,1,0,864,0,0,0,5,3,98000
135,1040,35,1680,6,1973,1973,359.0,3,3,987,1,1,483,1,264,0,5,3,103400
136,216,135,6342,5,1875,1996,0.0,3,3,1020,1,0,780,0,0,0,6,3,94000
137,1720,1,4590,8,2006,2006,108.0,4,4,1554,2,0,1554,2,627,1,6,4,209500
138,2331,0,18062,10,2006,2006,662.0,5,5,3390,3,1,1528,3,758,1,10,5,545224
139,204,98,12900,6,1912,2009,0.0,4,3,1560,1,1,780,0,0,0,7,4,159900
140,19,59,19138,4,1951,1951,0.0,3,3,864,1,0,864,2,400,0,4,3,141000
141,2438,6,8658,6,2000,2000,0.0,3,4,1889,2,1,982,2,431,1,9,3,215000
142,89,48,6897,5,1962,2010,0.0,3,3,1040,1,1,1040,1,260,0,6,3,127000
143,240,56,9525,5,1954,1998,0.0,3,3,1172,1,0,1172,1,366,0,5,3,128000
144,105,0,12853,8,2010,2010,0.0,4,5,1418,1,1,1642,3,852,1,6,4,267916
145,2020,76,6240,6,1931,1950,0.0,3,3,1367,1,0,884,1,560,1,6,3,127500
146,888,6,7301,7,2003,2003,500.0,4,0,1922,3,0,0,2,672,1,7,4,198500
147,1019,27,12090,6,1981,1981,210.0,3,4,1422,2,0,1422,2,576,1,7,4,175500
148,2132,7,8826,7,2000,2000,144.0,4,4,1842,2,1,985,2,486,1,7,4,217500
149,203,95,8094,4,1915,1950,0.0,3,3,1962,1,1,888,2,572,1,9,3,149500
150,420,43,10710,5,1966,2004,165.0,4,3,1120,1,0,864,2,656,1,5,3,148800
151,2333,1,16056,9,2005,2006,208.0,4,5,2868,3,1,1992,3,716,1,11,5,556581
152,632,52,8400,6,1957,1957,0.0,3,3,1478,1,1,1478,2,442,2,6,3,156500
153,2800,11,11250,7,1995,1996,0.0,4,4,1995,2,1,930,2,610,1,8,4,237000
154,1885,49,7535,5,1958,1985,0.0,3,3,912,1,0,912,1,297,0,5,3,120000
155,1734,2,12216,6,2005,2005,0.0,3,4,1326,2,0,1326,2,388,0,6,4,203000
156,2327,19,3701,8,1987,1987,0.0,3,4,1204,2,0,1191,2,461,0,5,3,130000
157,1282,44,9760,6,1964,1964,360.0,3,3,1611,1,1,780,2,442,0,7,3,167900
158,2688,36,9873,4,1970,1970,160.0,3,3,960,1,0,960,2,576,0,6,3,129000
159,2581,49,10011,5,1957,1996,64.0,3,3,1236,1,0,1070,1,447,1,6,4,134450
160,2067,89,25339,5,1918,2007,0.0,3,3,1416,2,0,816,2,576,0,7,4,112000
161,2115,19,8883,7,1988,1988,360.0,4,4,1873,2,1,929,2,619,1,7,4,207000
162,754,87,3000,5,1922,1950,0.0,3,3,2128,2,0,1040,0,0,0,11,3,62500
163,1079,5,2448,7,2003,2004,106.0,4,4,1626,2,1,764,2,474,0,6,4,154000
164,2615,49,7100,5,1957,1957,0.0,3,3,816,1,0,816,1,308,0,5,3,129900
165,329,34,2592,5,1976,1976,0.0,3,4,1112,1,1,536,1,336,0,4,3,85000
166,1320,82,5700,7,1926,1950,0.0,3,3,1111,1,0,572,1,288,1,5,3,116900
167,416,31,2289,6,1978,1978,0.0,3,3,1441,2,1,855,2,440,1,7,3,148500
168,284,69,12180,4,1941,1950,0.0,3,4,924,1,0,672,1,280,0,5,2,80000
169,1385,24,7400,5,1984,1984,0.0,3,4,1126,1,0,1060,2,506,0,5,3,152000
170,275,56,8842,5,1954,1954,0.0,3,2,992,1,0,381,1,319,0,6,3,155891
171,2024,87,8850,6,1920,1950,0.0,3,3,1376,1,0,768,2,576,0,7,4,165000
172,68,1,9215,7,2009,2010,0.0,4,4,1218,2,0,1218,2,676,0,4,4,204500
173,1910,65,9480,5,1942,1995,224.0,3,3,1644,1,1,728,1,312,2,7,4,146500
174,381,31,11880,7,1978,1978,206.0,3,4,1601,2,0,1271,2,478,1,7,3,157000
175,1323,118,10800,7,1890,1999,0.0,3,3,2495,2,0,1313,2,342,1,10,3,184000
176,2432,4,7861,6,2002,2003,0.0,4,4,1509,2,1,783,2,393,1,7,4,183200
177,777,47,11616,5,1962,1962,116.0,3,3,1092,1,0,1092,1,288,1,6,3,139000
178,1107,15,10542,7,1993,1994,651.0,4,4,2418,2,1,1311,3,983,1,9,4,341000
179,30,39,1680,6,1971,1971,504.0,3,3,987,1,1,483,1,264,0,5,3,96000
180,282,7,8546,4,2003,2004,0.0,3,4,1121,2,0,1121,2,440,0,5,3,140000
181,188,53,7407,6,1957,1996,0.0,3,3,1236,1,0,912,2,923,0,6,3,149700
182,2356,31,10140,5,1975,1975,0.0,3,4,1074,1,1,1056,2,495,0,6,3,153500
183,1554,56,14584,1,1952,1952,0.0,2,0,733,1,0,0,2,487,0,4,2,13100
184,1464,5,8158,7,2003,2003,252.0,4,4,1768,2,1,884,2,543,0,8,4,224900
185,2469,1,7500,7,2005,2005,0.0,4,4,1266,2,0,1257,2,453,1,6,4,176000
186,1834,15,10678,8,1992,2000,337.0,4,4,2872,2,1,1683,2,541,1,9,4,285000
187,1779,0,15256,8,2007,2007,84.0,4,4,1464,2,0,1485,3,754,0,6,4,282922
188,2569,40,14200,7,1966,1966,309.0,3,3,2157,2,1,924,2,487,2,8,4,226000
189,2334,0,12438,8,2006,2006,466.0,5,5,2576,2,1,1234,3,666,1,10,5,361919
190,2330,1,16023,9,2005,2006,600.0,4,5,2798,3,1,1398,3,670,1,11,5,457347
191,2119,31,20064,8,1976,1976,0.0,4,4,1743,0,1,966,2,529,2,5,4,279000
192,988,32,9819,6,1977,1977,0.0,3,3,1567,2,0,1567,2,714,2,5,4,196000
193,382,33,10400,7,1976,1976,189.0,3,4,1370,2,0,1090,2,479,1,6,3,152000
194,670,40,11643,5,1969,1969,368.0,3,3,2634,2,2,1248,4,968,0,12,3,200000
195,2760,1,11645,8,2005,2006,198.0,4,5,1590,2,1,1570,3,754,0,6,5,294900
196,543,1,7328,7,2008,2009,140.0,4,4,1450,2,0,1450,3,788,0,6,4,224243
197,2835,91,7822,6,1915,1950,0.0,3,2,1338,2,0,832,2,528,0,7,3,92000
198,1735,0,9018,7,2007,2007,0.0,4,4,1456,2,1,728,2,400,1,8,4,179540
199,448,6,13472,10,2003,2003,922.0,5,5,2392,2,0,2392,3,968,1,8,5,386250
200,2287,37,1533,4,1970,1970,0.0,3,4,992,1,0,530,1,297,0,4,3,106500
201,524,1,11003,10,2008,2008,160.0,5,5,2007,2,1,1017,3,812,1,10,5,310000
202,1767,9,10790,7,1998,1998,275.0,4,4,2385,2,1,1066,3,600,1,8,4,252000
203,2206,66,7128,7,1941,1950,0.0,3,3,1646,2,0,918,1,240,2,7,3,164000
204,1740,0,7713,7,2007,2007,16.0,4,4,1456,2,1,728,2,400,0,7,4,177594
205,199,74,6240,5,1936,1980,0.0,3,3,1040,1,0,528,2,624,0,5,3,123900
206,2214,89,22420,6,1918,1950,0.0,3,4,2624,2,1,1370,3,864,1,10,3,239000
207,323,45,15300,5,1965,1977,0.0,3,3,1264,1,0,1068,2,528,1,7,3,169000
208,2421,3,3196,7,2003,2004,18.0,4,4,1557,2,0,1374,2,420,1,7,4,234000
209,952,32,9360,6,1977,1977,0.0,3,4,1287,1,1,957,2,541,2,5,3,173000
210,24,40,11241,6,1970,1970,180.0,3,3,1004,1,0,1004,2,480,1,5,3,149000
211,1139,1,9260,7,2007,2007,0.0,4,4,1162,2,0,1162,2,483,0,6,4,170000
212,518,1,7993,7,2008,2009,0.0,4,5,1436,2,0,1436,2,529,0,6,4,225000
213,1390,45,9239,5,1963,2003,0.0,3,3,960,1,0,960,1,300,0,6,4,144900
214,277,42,10044,5,1968,1968,0.0,3,4,1196,1,0,1196,1,336,0,6,3,144000
215,54,6,3182,8,2004,2005,16.0,4,4,1269,2,0,1256,2,430,1,6,4,192000
216,649,57,7626,5,1952,2005,0.0,4,3,1031,1,0,1031,1,230,0,5,4,145500
217,2600,106,7008,4,1900,1998,0.0,3,2,720,1,0,448,1,280,0,5,2,86900
218,617,56,12160,6,1953,1953,90.0,3,3,1505,1,0,1505,2,505,1,6,3,149500
219,2209,69,6305,5,1938,1950,0.0,3,2,954,1,0,920,1,240,1,5,2,119750
220,2814,1,8846,6,2005,2006,0.0,3,4,1500,2,1,750,2,564,0,6,4,173900
221,2542,45,10659,5,1961,1961,0.0,3,3,1050,1,0,1050,1,368,0,6,3,136500
222,2323,12,13108,8,1994,1994,0.0,4,4,2687,2,1,2062,2,618,0,9,4,270000
223,1393,48,13500,6,1960,1975,0.0,3,4,1252,1,0,1602,2,564,1,4,3,235000
224,490,10,7750,7,1999,2000,0.0,3,4,1430,2,1,384,2,400,1,7,3,156000
225,542,6,12450,5,2003,2004,0.0,3,4,1114,2,0,1114,2,576,0,6,4,153000
226,973,10,4500,6,1999,1999,425.0,3,5,1224,2,0,1224,2,402,0,5,3,165000
227,1012,3,11198,9,2005,2007,245.0,4,4,2504,2,1,1122,3,656,1,11,5,325000
228,2218,66,6221,5,1941,1950,0.0,3,3,1355,2,0,728,2,528,0,5,3,140000
229,2033,44,13200,6,1963,1963,234.0,3,3,2294,3,0,741,2,658,1,9,3,202500
230,1071,0,8769,9,2008,2008,766.0,5,5,1702,1,1,1702,3,1052,1,7,5,367294
231,1583,20,10200,6,1988,1989,219.0,4,4,1509,2,0,1461,2,600,1,5,4,175000
232,2858,91,9550,7,1915,1970,0.0,3,3,1717,1,0,756,3,642,1,7,4,140000
233,2265,22,10331,7,1985,1985,0.0,3,4,1240,2,0,1265,2,528,0,6,4,174000
234,1088,3,9587,7,2005,2005,182.0,4,4,1166,2,0,856,2,400,0,5,4,190000
235,698,99,9900,5,1910,2002,0.0,4,3,1464,2,0,504,0,0,0,7,3,129000
236,1896,48,22002,6,1959,1991,136.0,3,3,1652,1,1,1592,2,510,1,6,4,200000
237,628,41,13000,6,1968,1968,576.0,3,4,2142,2,1,896,1,509,1,8,4,193500
238,1212,44,8250,6,1964,1964,260.0,3,4,1092,1,0,1092,2,504,0,6,3,145000
239,2864,77,8170,7,1929,1950,270.0,4,3,1671,2,0,1022,2,451,1,7,3,218000
240,2740,54,12048,5,1952,2002,232.0,3,0,1488,1,0,0,2,569,1,7,3,135000
241,2560,54,10858,5,1952,1952,150.0,3,3,1624,1,0,1444,1,240,1,6,3,146500
242,1716,2,7577,6,2005,2006,256.0,4,4,1362,2,0,1362,2,460,1,6,4,194700
243,1130,1,7500,7,2007,2008,210.0,4,4,1218,2,0,1218,2,462,0,6,4,230348
244,201,87,6120,6,1923,1950,0.0,3,2,1068,1,0,1124,1,288,1,5,3,109500
245,2886,27,23580,6,1979,1979,0.0,3,4,1625,2,0,1625,2,576,1,6,2,242500
246,2328,19,5306,7,1987,1987,0.0,4,4,1767,2,0,1064,2,504,1,5,4,239000
247,2583,52,8092,6,1954,2000,176.0,3,3,1050,1,0,1050,1,286,0,6,4,156000
248,1206,51,8593,4,1957,1957,0.0,3,3,907,1,0,907,1,352,0,5,3,109008
249,2242,68,11067,2,1939,1950,0.0,3,0,845,1,0,0,1,256,0,4,3,68104
250,1105,13,11929,8,1995,1995,466.0,4,4,2501,2,1,1242,3,751,1,9,4,290000
251,121,44,9900,5,1966,1966,0.0,3,4,1209,1,0,1209,2,504,0,6,3,159000
252,1223,71,4882,4,1937,1950,0.0,3,3,906,1,0,348,1,231,0,5,3,87000
253,265,9,11423,8,2001,2002,479.0,4,4,1601,2,0,1581,2,670,1,6,4,272000
254,2813,1,8772,7,2005,2006,0.0,4,4,1336,2,0,1336,2,502,0,6,4,198000
255,1294,68,7628,4,1940,1985,0.0,3,3,1656,2,0,801,2,440,0,8,3,119164
256,2745,52,8335,5,1954,1954,0.0,3,0,1124,1,0,0,0,0,1,5,3,93000
257,1094,8,8220,7,2000,2001,647.0,4,4,1892,2,1,982,2,431,1,8,3,226750
258,651,109,10615,3,1900,1970,0.0,3,2,1699,2,0,978,2,420,0,7,3,95000
259,198,62,6000,6,1948,1950,0.0,3,3,1416,1,1,780,1,312,0,6,3,139900
260,131,70,5350,3,1940,1966,0.0,3,3,1306,1,0,728,0,0,0,6,2,76500
261,1258,68,5400,4,1940,2005,0.0,4,3,672,1,0,672,1,308,0,4,3,86900
262,1599,40,17979,5,1968,1968,0.0,3,3,1160,1,0,1113,1,257,0,6,4,152500
263,1508,55,9520,4,1953,1953,115.0,3,4,930,1,0,911,1,286,0,5,3,99000
264,615,69,5330,4,1940,1950,0.0,2,3,708,1,0,420,0,0,0,5,2,82500
265,1815,15,8012,6,1992,1992,0.0,4,4,1575,2,0,1575,2,529,0,5,4,179200
266,2712,40,9000,5,1966,1966,0.0,3,3,1059,1,0,1059,1,286,0,6,3,142500
267,2051,43,14299,4,1964,1964,0.0,3,3,1005,1,0,1005,2,440,0,5,3,115400
268,1863,6,7050,7,2001,2001,0.0,4,4,1929,2,1,1057,2,650,1,7,4,226000
269,2510,1,3180,7,2005,2005,0.0,4,4,1200,2,1,600,2,480,0,4,4,144152
270,1069,5,16451,8,2003,2003,221.0,4,5,2690,2,1,1765,3,795,1,9,4,370000
271,336,26,12887,5,1984,1984,0.0,3,4,833,1,0,833,2,495,0,5,4,149900
272,2417,0,15578,6,2006,2006,0.0,4,4,1456,2,1,728,2,429,0,8,3,172785
273,1962,57,7200,5,1950,2002,0.0,3,3,864,1,0,864,2,720,0,5,4,129000
274,372,30,17043,6,1979,1998,0.0,3,4,1586,2,0,1362,2,435,1,7,3,181000
275,2578,50,10000,5,1956,1956,272.0,3,3,1370,1,0,1058,1,300,1,6,3,148000
276,2824,4,8050,6,2002,2002,0.0,3,4,914,1,0,914,0,0,0,4,4,117250
277,471,4,3182,7,2005,2006,16.0,4,4,1555,2,0,1373,2,430,1,7,4,192500
278,1544,28,1950,6,1980,1980,0.0,3,4,1556,2,1,716,2,452,1,6,3,151000
279,2141,35,7700,5,1972,1972,0.0,3,3,882,1,0,882,2,461,0,5,3,112500
280,2008,87,8731,5,1920,1950,0.0,3,3,1167,1,0,915,2,495,1,6,3,144000
281,1075,1,8232,9,2007,2008,714.0,5,5,1800,2,0,1800,3,944,1,6,5,370967
282,34,35,2280,6,1975,1975,0.0,3,3,1456,2,1,855,2,440,1,6,4,149900
283,847,7,8935,7,2002,2002,95.0,4,4,1660,2,1,831,2,493,0,7,4,195000
284,1629,15,9125,7,1992,1992,170.0,3,4,1482,2,1,384,2,392,1,7,4,163900
285,2073,23,11075,6,1984,1984,136.0,3,4,1522,2,0,1190,2,552,1,7,3,182000
